Phase,Week,Dates (2026),Category,Task,Status,Weekly goal,Notes
P2 Land pilots,W8,24–30 Aug,Outbound,Prep September outbound cohort (accounts 41–60),Not started,5 pilots live; case study #1 published,
P2 Land pilots,W8,24–30 Aug,Content,Publish case study #1 (anonymised),Not started,5 pilots live; case study #1 published,
P3 Convert,W9,31 Aug–6 Sep,Delivery,Mid-pilot outcome reviews — show each pilot its ONE metric vs baseline,Not started,Outcome reviews done; September pipeline reopened,
P3 Convert,W9,31 Aug–6 Sep,Outbound,Hit September outbound hard (accounts 41–60),Not started,Outcome reviews done; September pipeline reopened,
P3 Convert,W9,31 Aug–6 Sep,Funding,Open EIC Accelerator file for 2 Sep cut-off if traction supports (else target 4 Nov),Not started,Outcome reviews done; September pipeline reopened,
P3 Convert,W10,7–13 Sep,Sales,Send year-one conversion proposals to 2–3 strongest pilots (pilot fee credited),Not started,Conversion proposals out,
P3 Convert,W10,7–13 Sep,Content,Draft case study #2,Not started,Conversion proposals out,
P3 Convert,W10,7–13 Sep,Sales,Continue discovery calls from the new cohort,Not started,Conversion proposals out,
P3 Convert,W11,14–20 Sep,Sales,Close conversion #1–2 (signed annual order + first invoice),Not started,First paid annual signed; first invoice issued,
P3 Convert,W11,14–20 Sep,Compliance,Handle procurement/security questionnaire (compliance datasheet + DPA + DPIA-support pack),Not started,First paid annual signed; first invoice issued,
P3 Convert,W12,21–27 Sep,Sales,Close conversion #2–3; collect first cash,Not started,2–3 paying customers; ≥ €10k booked; retro done,
P3 Convert,W12,21–27 Sep,Content,Publish case study #2 + a '90-day results' post,Not started,2–3 paying customers; ≥ €10k booked; retro done,
P3 Convert,W12,21–27 Sep,Ops,Retro: lock cohort-2 target list and repeat the motion,Not started,2–3 paying customers; ≥ €10k booked; retro done,
